[2026-06-02 17:13:57] PARQUE_CRIADO - Nome: asff, Capacidade: 111, Localização: fdsfds
[2026-06-02 17:14:06] PARQUE_CRIADO - Nome: assafdasf, Capacidade: 3134, Localização: fdsfdf
[2026-06-02 17:19:48] PARQUE_REMOVIDO - ID: 4, Nome: assafdasf
[2026-06-02 17:20:36] PARQUE_REMOVIDO - ID: 3, Nome: asff
[2026-06-02 17:56:49] PARQUE_CRIADO - Nome: sdasd, Capacidade: 12, Localização: sadasd
[2026-06-02 17:56:55] PARQUE_CRIADO - Nome: asfafs, Capacidade: 233, Localização: dfdfd
[2026-06-02 17:57:46] PARQUE_CRIADO - Nome: fff, Capacidade: 1341, Localização: asfasf
[2026-06-02 17:57:50] PARQUE_CRIADO - Nome: wrqwr, Capacidade: 13, Localização: rqrq
[2026-06-02 17:57:53] PARQUE_CRIADO - Nome: rqr, Capacidade: , Localização: wqer
[2026-06-02 17:57:59] PARQUE_CRIADO - Nome: , Capacidade: , Localização: 
[2026-06-02 17:58:10] PARQUE_REMOVIDO - ID: 10, Nome: 
[2026-06-02 17:58:18] PARQUE_REMOVIDO - ID: 9, Nome: rqr
[2026-06-02 17:58:35] PARK_ADMIN_CRIADO - Username: , Nome: 
[2026-06-02 17:58:44] PARK_ADMIN_REMOVIDO - ID: 3, Username: 
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque Verde 1, Capacidade: 2467, Localização: Lisboa
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque do Lago 2, Capacidade: 4307, Localização: Faro
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque Central 3, Capacidade: 1598, Localização: Coimbra
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque das Flores 4, Capacidade: 4225, Localização: Coimbra
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque das Flores 5, Capacidade: 2276, Localização: Aveiro
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque das Flores 6, Capacidade: 3872, Localização: Aveiro
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque Verde 7, Capacidade: 2396, Localização: Aveiro
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque Solar 8, Capacidade: 111, Localização: Braga
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque Solar 9, Capacidade: 4283, Localização: Porto
[2026-06-02 18:10:12] PARQUE_CRIADO - Nome: Parque das Flores 10, Capacidade: 1318, Localização: Lisboa
[2026-06-02 18:10:13] PARQUE_CRIADO - Nome: Parque Solar 11, Capacidade: 460, Localização: Lisboa
[2026-06-02 18:10:13] PARQUE_CRIADO - Nome: Parque Solar 12, Capacidade: 4202, Localização: Aveiro
[2026-06-02 18:10:13] PARQUE_CRIADO - Nome: Parque Central 13, Capacidade: 1850, Localização: Coimbra
